"";"";"";"";"*deputado_ELI_BORGES";""
"1";"*deputado_ELI_BORGES";"0.313829192252518";"-0.877080291321404";"1.00396106022249";"47"
"2";"*deputado_BOHN_GASS";"0.2974097107379";"-1.54273018876972";"0.986637810555906";"56"
"3";"*deputado_JEFFERSON_CAMPOS";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"57"
"4";"*deputado_DANIEL_FREITAS";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"58"
"5";"*deputado_LAURA_CARNEIRO";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"59"
"6";"*deputado_LUISA_CANZIANI";"0.305638642726727";"-0.98280030889612";"0.983510489622182";"60"
"7";"*deputado_OSMAR_TERRA";"0.31178155487107";"-0.903510295715083";"0.982456336498455";"61"
"8";"*partido_PSB";"0.316518867826559";"-0.569401630540016";"0.982368490404811";"62"
"9";"*deputado_DEFENSOR_STÉLIO_DENER";"0.3229212734005";"-0.860549130082582";"0.973056804478554";"63"
"10";"*uf_RR";"0.3229212734005";"-0.860549130082582";"0.973056804478554";"64"
"11";"*deputado_BRUNO_FARIAS";"0.324067379159756";"-0.744930269353008";"0.968822622764916";"67"
"12";"*deputado_JOÃO_DANIEL";"0.300806758341866";"-0.986152937704635";"0.960020444181794";"70"
"13";"*deputado_MERLONG_SOLANO";"0.301709137266418";"-1.37920783139752";"0.960020444181794";"72"
"14";"*deputado_DELEGADO_MARCELO_FREITAS";"0.32389363883223";"2.08574399967819";"0.938129197645725";"78"
"15";"*deputado_ALFREDO_GASPAR";"0.306374641931284";"-0.47566512003488";"0.929854095624466";"82"
"16";"*deputado_PADRE_JOÃO";"0.305863579098396";"-1.25487537642348";"0.929854095624466";"83"
"17";"*partido_PODE";"0.322019741778308";"-0.771360273746687";"0.929010773125484";"84"
"18";"*deputado_GILSON_DANIEL";"0.322019741778308";"-0.771360273746687";"0.929010773125484";"85"
"19";"*deputado_AFONSO_HAMM";"0.30396982685114";"-1.36731220225017";"0.928378281251248";"86"
"20";"*deputado_MARCELO_ÁLVARO_ANTÔNIO";"0.315467302157676";"-0.85593628780646";"0.925057698911507";"89"
"21";"*deputado_DUARTE_JR";"0.325797676868493";"-0.317893941439684";"0.92458333000583";"90"
"22";"*deputado_RICARDO_MAIA";"0.3083432375933";"-1.2503668779038";"0.924108961100153";"91"
"23";"*partido_MDB";"0.310684875188987";"-0.787743841630106";"0.911775369552544";"93"
"24";"*uf_PI";"0.308887333751674";"-0.720778402700484";"0.907031680495771";"94"
"25";"*deputado_GABRIEL_NUNES";"0.313829192252518";"-0.877080291321404";"0.897034795039092";"95"
"26";"*deputado_ALICE_PORTUGAL";"0.310071059953181";"-0.879687891505805";"0.896859102851804";"96"
"27";"*dec_text270";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"97"
"28";"*dec_text249";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"98"
"29";"*dec_text311";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"99"
"30";"*dec_text233";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"100"
"31";"*dec_text62";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"101"
"32";"*dec_text553";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"102"
"33";"*dec_text78";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"103"
"34";"*dec_text245";"0.330210291304099";"-0.665640256171971";"0.891500491139524";"104"
"35";"*deputado_VALMIR_ASSUNÇÃO";"0.313810001021";"-1.10418522247085";"0.889708430829187";"105"
"36";"*dec_text461";"0.32389363883223";"2.08574399967819";"0.888935385205121";"107"
"37";"*deputado_GERVÁSIO_MAIA";"0.32389363883223";"2.08574399967819";"0.888935385205121";"108"
"38";"*deputado_ABILIO_BRUNINI";"0.32389363883223";"2.08574399967819";"0.888935385205121";"110"
"39";"*deputado_REIMONT";"0.309609227130043";"-1.16422381946171";"0.888197478018512";"111"
"40";"*deputado_IDILVAN_ALENCAR";"0.317924467015413";"-0.824220282534045";"0.887828524425207";"112"
"41";"*deputado_RANIERY_PAULINO";"0.324067379159756";"-0.744930269353008";"0.879412868654118";"115"
"42";"*deputado_OTONI_DE_PAULA";"0.302887988904511";"-1.2602855746471";"0.875653055846158";"118"
"43";"*deputado_CORONEL_ASSIS";"0.318047589166041";"-0.204485084978708";"0.872666288662264";"121"
"44";"*deputado_PAULÃO";"0.306764074475333";"-0.562520813941264";"0.857170237743473";"122"
"45";"*deputado_WELTER";"0.310738544948828";"-1.14383022906136";"0.845574553382474";"125"
"46";"*deputado_LUIZ_COUTO";"0.316549140104305";"-0.962962915409534";"0.844292000415273";"126"
"47";"*dec_text350";"0.3083432375933";"-1.2503668779038";"0.823946845127337";"131"
"48";"*deputado_MEIRE_SERAFIM";"0.296057413304614";"-1.40894690426588";"0.823946845127337";"132"
"49";"*dec_text474";"0.317924467015413";"-0.824220282534045";"0.823050814972169";"135"
"50";"*deputado_ZUCCO";"0.317924467015413";"-0.824220282534045";"0.823050814972169";"136"
"51";"*deputado_DR_LUIZ_OVANDO";"0.327051965068165";"0.71005187175311";"0.822927830441067";"137"
"52";"*partido_PRD";"0.31566767240167";"0.462282989055141";"0.821223616224375";"139"
"53";"*deputado_DR_FREDERICO";"0.31566767240167";"0.462282989055141";"0.821223616224375";"140"
"54";"*deputado_MESSIAS_DONATO";"0.313133852304357";"-1.03729358021892";"0.812193037797778";"144"
"55";"*deputado_REINHOLD_STEPHANES";"0.307441705971109";"-1.16117802156791";"0.804374735463468";"145"
"56";"*deputado_CÉLIO_SILVEIRA";"0.319914190954352";"0.1457678115367";"0.803830089682876";"146"
"57";"*deputado_FLÁVIO_NOGUEIRA";"0.318936808831032";"0.20102279747536";"0.8";"149"
