"";"";"";"";"dignidade";""
"1";"dignidade";"0.291335529151574";"-1.7051542503619";"1.1407475398118";"47"
"2";"constituição_federal";"0.324683220391214";"1.74182096769692";"1.07818423286397";"65"
"3";"organizado";"0.298961039631941";"-1.05197184690064";"1.06558579487534";"73"
"4";"habitação";"0.286476183882509";"-1.83509349963564";"1.04903805930445";"86"
"5";"parlamento_federal";"0.305638642726723";"-0.982800308896123";"1.04426673598109";"93"
"6";"conscientização";"0.305638642726723";"-0.982800308896123";"1.04426673598109";"95"
"7";"avenida";"0.289213678003111";"-1.71333732952999";"1.04162195750972";"97"
"8";"supremo";"0.323893638832232";"2.08574399967819";"1.02479723500433";"105"
"9";"comissão_de_constituição_e_justiça";"0.323893638832232";"2.08574399967819";"1.02479723500433";"107"
"10";"educação";"0.313010137299934";"-0.887652293078878";"1.00436274728801";"120"
"11";"seguinte";"0.323893638832232";"2.08574399967819";"0.999394852591777";"123"
"12";"preventivo";"0.323893638832232";"2.08574399967819";"0.999394852591777";"124"
"13";"autazes";"0.286476183882509";"-1.83509349963564";"0.998671112537111";"126"
"14";"paralisado";"0.286476183882509";"-1.83509349963564";"0.998671112537111";"127"
"15";"linha";"0.286476183882509";"-1.83509349963564";"0.998671112537111";"129"
"16";"urbano";"0.297409710737905";"-1.54273018876972";"0.998563891788272";"130"
"17";"investimento";"0.297409710737905";"-1.54273018876972";"0.998563891788272";"132"
"18";"principal";"0.297409710737905";"-1.54273018876972";"0.998563891788272";"133"
"19";"ponto";"0.297409710737905";"-1.54273018876972";"0.998563891788272";"134"
"20";"argentino";"0.305638642726724";"-0.982800308896123";"0.99486477595331";"137"
"21";"rato";"0.305638642726724";"-0.982800308896123";"0.99486477595331";"139"
"22";"espectro";"0.305638642726724";"-0.982800308896123";"0.99486477595331";"140"
"23";"corrêa";"0.305638642726724";"-0.982800308896123";"0.99486477595331";"141"
"24";"carinho";"0.311781554871066";"-0.903510295715086";"0.994275061834693";"143"
"25";"conhecer";"0.311781554871066";"-0.903510295715086";"0.994275061834693";"144"
"26";"ambiental";"0.293765201786106";"-1.64018462572503";"0.992800776538151";"145"
"27";"agricultura";"0.325836880561934";"-0.782585580518339";"0.991791114486579";"146"
"28";"brasília";"0.309733917489618";"-0.929940300108764";"0.988824673768688";"147"
"29";"gerar";"0.302379495672176";"-1.40983777473976";"0.979639429618107";"149"
"30";"alexandre_de_moraes";"0.323893638832232";"2.08574399967819";"0.974063950678456";"154"
"31";"entendimento";"0.323893638832232";"2.08574399967819";"0.974063950678456";"156"
"32";"reconhecer";"0.313127341977862";"-0.571370929560277";"0.961608473688272";"162"
"33";"saudar";"0.304110501714383";"-1.13695878986889";"0.961608473688272";"163"
"34";"judicial";"0.322808334865536";"1.55665958473051";"0.955648787065279";"171"
"35";"anunciar";"0.304698728641502";"-1.34782131485911";"0.955389670255583";"172"
"36";"mão";"0.297166885296716";"-0.714854214117399";"0.953066554030729";"174"
"37";"guarda";"0.330210291304093";"-0.665640256171973";"0.952718086597";"178"
"38";"enfermagem";"0.330210291304093";"-0.665640256171973";"0.952718086597";"179"
"39";"categoria";"0.330210291304093";"-0.665640256171973";"0.952718086597";"180"
"40";"proteção";"0.312659113748828";"-0.892183150974937";"0.949671230317479";"183"
"41";"alegria";"0.306411384117174";"-1.05924790004117";"0.949671230317479";"184"
"42";"ordem";"0.323893638832232";"2.08574399967819";"0.948786659139554";"185"
"43";"membro";"0.323893638832232";"2.08574399967819";"0.948786659139554";"186"
"44";"legal";"0.323893638832232";"2.08574399967819";"0.948786659139554";"187"
"45";"obstruir";"0.323893638832232";"2.08574399967819";"0.948786659139554";"188"
"46";"encerrar";"0.323893638832232";"2.08574399967819";"0.948786659139554";"189"
"47";"determinar";"0.323893638832232";"2.08574399967819";"0.948786659139554";"190"
"48";"regularização";"0.286476183882509";"-1.83509349963564";"0.948429256643422";"191"
"49";"baixo";"0.286476183882509";"-1.83509349963564";"0.948429256643422";"192"
"50";"perspectiva";"0.286476183882509";"-1.83509349963564";"0.948429256643422";"193"
"51";"morar";"0.286476183882509";"-1.83509349963564";"0.948429256643422";"194"
"52";"fundiário";"0.286476183882509";"-1.83509349963564";"0.948429256643422";"196"
"53";"contador";"0.286476183882509";"-1.83509349963564";"0.948429256643422";"197"
"54";"identidade";"0.305638642726723";"-0.982800308896122";"0.945578971736773";"199"
"55";"estacionamento";"0.305638642726723";"-0.982800308896122";"0.945578971736773";"200"
"56";"abençoar";"0.305638642726723";"-0.982800308896122";"0.945578971736773";"201"
"57";"suplente";"0.305638642726723";"-0.982800308896122";"0.945578971736773";"202"
"58";"homenagem";"0.305638642726723";"-0.982800308896122";"0.945578971736773";"203"
"59";"modalidade";"0.293959674872454";"-1.05092599977287";"0.944765881058074";"205"
"60";"anterior";"0.293959674872454";"-1.05092599977287";"0.944765881058074";"208"
"61";"visitar";"0.30180615095788";"-1.15325894704403";"0.941719024778553";"210"
"62";"convidar";"0.310552972442197";"-0.919368298351293";"0.941719024778553";"211"
"63";"cuidar";"0.327138835231922";"-0.705285262762492";"0.94092380422466";"213"
"64";"produtor";"0.324743527876395";"-0.811821911604931";"0.94092380422466";"214"
"65";"municipal";"0.324743527876395";"-0.811821911604931";"0.94092380422466";"215"
"66";"técnico";"0.32942070974511";"-0.321717224190702";"0.94092380422466";"216"
"67";"agente";"0.327138835231922";"-0.705285262762492";"0.94092380422466";"217"
"68";"popular";"0.299617666251847";"-0.573612930767536";"0.939181467056019";"218"
"69";"estado";"0.229143941493834";"-0.652695317774578";"0.938180740066851";"220"
"70";"relator";"0.324683220391214";"1.74182096769692";"0.936911961205584";"221"
"71";"realizar";"0.325205215314748";"-0.507447154933323";"0.936143545838901";"223"
"72";"apresentar";"0.324493748575238";"-0.537075677766422";"0.935634247281913";"225"
"73";"trabalho";"0.3180367439435";"-0.625775241510214";"0.931229261517092";"228"
"74";"subsidiário";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"232"
"75";"milhar";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"233"
"76";"acidente";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"234"
"77";"ocupacional";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"235"
"78";"caixa";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"236"
"79";"loteria";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"237"
"80";"jerônimo";"0.330210291304093";"-0.665640256171973";"0.926842145877078";"238"
"81";"social";"0.293662105949089";"-1.51548355310832";"0.923643393536701";"242"
"82";"requisito";"0.323893638832232";"2.08574399967819";"0.923571913037475";"243"
"83";"julgar";"0.323893638832232";"2.08574399967819";"0.923571913037475";"244"
"84";"leitura";"0.323893638832232";"2.08574399967819";"0.923571913037475";"246"
"85";"inafiançabilidade";"0.323893638832232";"2.08574399967819";"0.923571913037475";"247"
"86";"cassação";"0.323893638832232";"2.08574399967819";"0.923571913037475";"249"
"87";"inclusão";"0.314063429384254";"-0.519942257143296";"0.920685887881212";"250"
"88";"atender";"0.303547296251481";"-1.0822307341407";"0.917996434097823";"252"
"89";"segurança";"0.320621249490195";"-0.53267967075135";"0.916423863114844";"253"
"90";"jaboatão";"0.32670005579304";"-0.710948835132566";"0.91584308405863";"254"
"91";"crise";"0.323962561672438";"-0.832705005238211";"0.91584308405863";"255"
"92";"solução";"0.323962561672438";"-0.832705005238211";"0.91584308405863";"257"
"93";"estabelecer";"0.329307912379541";"-0.272585362479092";"0.91584308405863";"258"
"94";"agradecer";"0.315659091630644";"-0.338384965685115";"0.914922772631092";"259"
"95";"saúde";"0.318227678162391";"-0.959911008719291";"0.913680798957035";"262"
"96";"discussão";"0.324796017756783";"1.69268910598531";"0.912483500594994";"265"
"97";"imprensa";"0.29894866886575";"-0.528147666531026";"0.909338358629037";"270"
"98";"problema";"0.296958944926809";"-1.49813576060177";"0.909338358629037";"271"
"99";"norte";"0.292863670163914";"-1.55099576938913";"0.909338358629037";"272"
"100";"energia";"0.301054219689704";"-1.44527575181442";"0.909338358629037";"273"
"101";"direto";"0.29894866886575";"-0.528147666531026";"0.909338358629037";"274"
"102";"deficiência";"0.313829192252513";"-0.877080291321406";"0.906818671031309";"277"
"103";"município";"0.308162931268862";"-1.23252910663663";"0.903235711007591";"279"
"104";"passado";"0.308162931268862";"-1.23252910663663";"0.903235711007591";"280"
"105";"importante";"0.316151027451579";"-0.434996335167309";"0.902261789205632";"281"
"106";"defensoria";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"282"
"107";"reforma";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"283"
"108";"pássaro";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"284"
"109";"proagro";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"285"
"110";"baiano";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"286"
"111";"viabahia";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"287"
"112";"valorização";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"288"
"113";"torneio";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"289"
"114";"terapeuta";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"290"
"115";"salvar";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"291"
"116";"safra";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"292"
"117";"rodoviário";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"293"
"118";"prioridade";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"294"
"119";"prejuízo";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"295"
"120";"greve";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"297"
"121";"fisioterapeuta";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"298"
"122";"exposição";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"299"
"123";"esperança";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"300"
"124";"entrar";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"301"
"125";"criminalidade";"0.330210291304093";"-0.665640256171973";"0.901037685656382";"302"
"126";"órgão";"0.291266798593563";"-1.62202020195076";"0.898008699501667";"303"
"127";"casa";"0.29583054761994";"-0.854884124807179";"0.898008699501667";"304"
"128";"significativo";"0.291266798593563";"-1.62202020195076";"0.898008699501667";"305"
"129";"retomada";"0.297409710737905";"-1.54273018876972";"0.898008699501667";"306"
"130";"único";"0.29583054761994";"-0.854884124807179";"0.898008699501667";"307"
"131";"trazer";"0.322608993285611";"-0.243122664698889";"0.895944700086508";"310"
"132";"documento";"0.3102023917531";"-0.215664231752544";"0.895882154649685";"311"
"133";"anápolis";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"312"
"134";"fundo";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"313"
"135";"arroio";"0.30084802801567";"-1.195873606581";"0.895882154649685";"314"
"136";"vinda";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"315"
"137";"representação";"0.3102023917531";"-0.215664231752544";"0.895882154649685";"316"
"138";"listar";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"317"
"139";"filho";"0.311781554871065";"-0.903510295715086";"0.895882154649685";"318"
"140";"lutar";"0.321944119883411";"-0.58667268059379";"0.892477895874032";"320"
"141";"defensoria_pública";"0.322921273400496";"-0.860549130082584";"0.891101896263926";"321"
"142";"família";"0.306772253691754";"-0.889160909302676";"0.886830936435154";"325"
"143";"abril";"0.316169349259881";"-0.846874572014344";"0.882327664983897";"330"
"144";"respeitado";"0.314364591410778";"-0.0607647846285825";"0.882327664983897";"331"
"145";"presidir";"0.309921619628227";"-1.01393932108058";"0.882327664983897";"332"
"146";"visita";"0.306720480673354";"-1.0898269364992";"0.866691305778142";"341"
"147";"instituto";"0.314203971663299";"-0.30565943663643";"0.866691305778142";"343"
"148";"cumprimentar";"0.297973659189037";"-1.32371758519193";"0.866691305778142";"344"
"149";"criança";"0.305457150178982";"-0.539550085329162";"0.866691305778142";"345"
"150";"autoria";"0.315467302157671";"-0.855936287806463";"0.866691305778142";"346"
"151";"lembrar";"0.311103923375293";"-0.304853088088438";"0.855647568647678";"351"
"152";"ficar";"0.310413751929795";"-0.541231535542279";"0.855263360964337";"352"
"153";"guerreiro";"0.292863670163914";"-1.55099576938913";"0.853690789981358";"353"
"154";"político";"-0.223869402480036";"-0.448974485469977";"0.809703477769971";"378"
"155";"acesso";"0.313526704672945";"-0.138329918709805";"0.805316362129956";"382"
